16.552,10.905,13.252,10.298,11.238,9.548,9.092,7.424,10.877,8.416,8.427,8.784,9.408,9.800,7.333,7.389,8.906,8.622,9.149,7.432,10.519,12.948,13.659,11.922,7.613,9.106,9.386,9.559,10.442,13.366,14.236,13.604,6.916,7.145,7.657,6.646,6.355,7.777,10.142,8.288,12.737,13.240,12.588,11.952,12.617,14.605,15.055,14.202,11.724,12.561,12.056,11.753,12.967,16.263,16.748,16.301,11.039,8.804,10.395,10.914,7.616,13.374,13.797,14.463,8.777,9.389,10.095,5.594,9.832,12.117
17.124,11.366,13.631,10.684,10.717,9.660,9.046,7.437,10.988,9.079,9.056,9.218,9.490,9.894,7.386,7.563,9.441,9.097,9.820,7.870,10.763,13.226,13.711,12.023,7.807,9.503,9.502,9.730,10.819,13.755,14.391,13.797,6.783,6.953,7.511,6.497,6.332,7.851,9.980,8.105,12.660,13.117,12.492,11.852,12.583,14.665,14.869,14.100,11.617,12.368,11.930,11.688,12.751,16.142,16.715,16.391,11.208,9.084,10.744,11.163,7.501,13.292,13.700,14.640,9.052,9.600,10.286,5.534,9.846,12.141
18.675,12.379,14.100,11.381,10.469,9.753,9.026,7.723,11.615,9.269,9.268,9.283,9.559,9.162,6.951,7.492,9.709,9.156,9.969,7.920,10.762,13.245,13.680,12.086,8.184,9.874,9.501,9.807,11.152,14.062,14.487,13.895,6.402,6.377,7.047,6.075,6.036,7.515,9.637,7.804,12.332,12.588,12.028,11.444,12.107,14.312,14.649,14.014,11.545,12.316,11.829,11.623,12.776,16.130,16.708,16.410,11.688,9.075,10.816,11.370,7.112,12.934,13.667,14.994,9.008,9.933,10.398,5.266,9.884,12.206
21.344,14.050,14.849,12.733,10.690,10.158,9.185,8.347,12.753,10.202,10.120,9.881,9.559,9.392,7.022,7.523,10.997,9.358,10.141,7.908,10.700,13.148,13.647,12.137,8.705,10.113,9.468,9.827,11.322,14.165,14.453,13.919,5.489,5.063,5.931,5.076,5.376,6.570,8.750,7.113,11.929,11.915,11.524,10.975,11.467,13.772,14.438,13.794,11.527,12.280,11.795,11.629,12.809,16.069,16.841,16.545,12.670,9.556,11.005,11.496,6.171,12.477,13.687,16.039,9.854,10.505,10.507,4.987,9.716,12.434
22.905,15.118,15.502,13.935,11.035,10.499,9.415,8.950,16.216,11.480,10.974,10.460,9.706,9.810,7.428,7.863,11.191,9.314,10.115,8.036,10.610,13.041,13.752,12.337,8.912,10.144,9.348,9.821,11.376,14.103,14.413,13.981,5.426,4.614,5.490,4.600,5.073,6.173,8.078,6.484,11.923,11.755,11.518,11.088,11.374,13.616,14.974,14.458,11.794,12.486,12.137,11.933,12.935,15.944,16.976,16.956,13.420,10.492,11.049,11.512,5.742,12.588,13.895,16.944,10.962,10.779,10.539,4.828,9.692,12.601
22.955,15.260,15.602,14.019,10.998,10.557,9.422,8.991,19.261,13.468,13.217,12.248,10.300,10.055,7.852,8.495,11.954,9.680,10.336,8.605,10.663,13.065,13.993,12.657,8.904,10.076,9.265,9.917,11.417,13.959,14.555,14.228,5.908,4.827,5.621,4.678,5.135,6.065,7.733,6.089,12.146,12.005,11.771,11.462,11.567,13.748,15.542,15.324,11.966,12.645,12.326,12.064,12.936,15.965,17.068,17.083,13.475,11.862,11.369,11.540,5.757,12.946,14.007,17.022,12.878,11.106,10.596,4.739,10.158,12.644
24.194,16.745,16.961,14.833,11.505,11.426,10.028,9.854,19.716,13.801,13.493,12.344,10.374,10.193,7.941,8.495,12.178,9.886,10.485,8.927,10.656,13.047,14.139,12.872,8.970,10.118,9.365,10.238,11.589,13.892,14.989,14.717,6.461,5.286,5.903,5.237,5.505,6.326,8.094,6.601,11.855,11.766,11.552,11.343,11.495,13.750,15.517,15.267,12.075,12.793,12.440,12.205,12.935,16.065,17.132,17.041,14.444,12.045,11.524,11.735,6.176,12.818,14.086,17.511,13.203,11.113,10.772,4.755,10.024,12.515
26.516,18.888,19.048,16.606,12.771,12.701,10.834,10.942,21.280,14.817,14.559,13.240,10.617,10.401,8.539,9.196,12.182,9.895,10.558,9.007,10.601,12.946,14.101,12.900,9.192,10.304,9.650,10.689,11.847,13.939,15.574,15.315,6.923,5.490,6.049,5.877,5.942,6.609,8.987,7.690,11.660,11.694,11.437,11.270,11.517,13.896,15.512,15.261,12.028,12.744,12.374,12.139,12.857,16.039,17.029,16.988,16.038,12.831,11.524,12.064,6.696,12.781,14.025,19.089,14.134,11.085,11.023,4.727,9.928,12.498
28.159,20.396,20.631,18.176,14.120,13.820,11.261,11.749,21.471,14.874,14.658,13.267,10.561,10.435,8.575,9.276,12.288,9.918,10.655,9.041,10.607,12.835,13.948,12.803,9.574,10.665,10.106,11.220,12.117,14.193,16.110,15.907,6.855,5.322,5.938,5.953,6.038,6.644,9.627,8.171,11.801,11.934,11.633,11.344,11.444,14.170,15.464,15.200,11.878,12.602,12.241,12.054,12.717,15.900,16.998,17.015,17.289,12.890,11.512,12.486,6.819,12.874,13.926,20.717,14.359,11.064,11.276,5.079,10.015,12.542
28.854,21.006,21.328,18.937,14.884,14.239,11.125,11.908,21.487,14.835,14.651,13.200,10.386,10.283,8.574,9.304,12.372,9.959,10.732,9.126,10.592,12.787,13.766,12.719,9.945,10.966,10.467,11.620,12.292,14.478,16.511,16.368,6.862,5.495,6.114,6.086,6.136,7.127,9.773,8.219,11.586,11.873,11.568,11.174,10.990,14.213,15.398,15.117,11.773,12.593,12.290,12.110,12.594,15.975,17.389,17.219,17.785,12.840,11.507,12.831,6.976,12.740,13.993,21.645,14.254,10.951,11.512,5.186,10.185,12.494
